col_name,data_type,comment
MMID,string,null
NAME,string,null
CITY,string,null
ZIP,string,null
LAT,string,null
LONG,string,null
WEEKVOL,string,null
STORE,string,null
SCLUSTER,string,null
ZONE,string,null
AGE9,string,null
AGE60,string,null
ETHNIC,string,null
EDUC,string,null
NOCAR,string,null
INCOME,string,null
INCSIGMA,string,null
GINI,string,null
HSIZEAVG,string,null
HSIZE1,string,null
HSIZE2,string,null
HSIZE34,string,null
HSIZE567,string,null
HH3PLUS,string,null
HH4PLUS,string,null
HHSINGLE,string,null
HHLARGE,string,null
WORKWOM,string,null
SINHOUSE,string,null
DENSITY,string,null
HVAL150,string,null
HVAL200,string,null
HVALMEAN,string,null
SINGLE,string,null
RETIRED,string,null
UNEMP,string,null
WRKCH5,string,null
WRKCH17,string,null
NWRKCH5,string,null
NWRKCH17,string,null
WRKCH,string,null
NWRKCH,string,null
WRKWCH,string,null
WRKWNCH,string,null
TELEPHN,string,null
MORTGAGE,string,null
NWHITE,string,null
POVERTY,string,null
SHPCONS,string,null
SHPHURR,string,null
SHPAVID,string,null
SHPKSTR,string,null
SHPUNFT,string,null
SHPBIRD,string,null
SHOPINDX,string,null
SHPINDX,string,null
GROUP1,string,null
GROUP2,string,null
GROUP3,string,null
GROUP4,string,null
GROUP5,string,null
GROUP6,string,null
GROUP7,string,null
GROUP8,string,null
GROUP9,string,null
GROUP10,string,null
GROUP11,string,null
GROUP12,string,null
SELAS1,string,null
SELAS2,string,null
SELAS3,string,null
SELAS4,string,null
SELAS5,string,null
SELAS6,string,null
SELAS7,string,null
SELAS8,string,null
SELAS9,string,null
SELAS10,string,null
SELAS11,string,null
SELAS12,string,null
SELAS13,string,null
SELAS14,string,null
SELAS15,string,null
SELAS16,string,null
SELAS17,string,null
SELAS18,string,null
SELAS19,string,null
SELAS20,string,null
SELAS21,string,null
SELAS22,string,null
SELAS23,string,null
SELAS24,string,null
SEELAS1,string,null
SEELAS2,string,null
SEELAS3,string,null
SEELAS4,string,null
SEELAS5,string,null
SEELAS6,string,null
SEELAS7,string,null
SEELAS8,string,null
SEELAS9,string,null
SEELAS10,string,null
SEELAS11,string,null
SEELAS12,string,null
SEELAS13,string,null
SEELAS14,string,null
SEELAS15,string,null
SEELAS16,string,null
SEELAS17,string,null
SEELAS18,string,null
SEELAS19,string,null
SEELAS20,string,null
SEELAS21,string,null
SEELAS22,string,null
SEELAS23,string,null
SEELAS24,string,null
SELASALL,string,null
STORENO,string,null
URBAN,string,null
CUBDIST,string,null
CUBVOL,string,null
CUBID,string,null
OMNIDIST,string,null
OMNIVOL,string,null
OMNIID,string,null
DDIST1,string,null
DDIST2,string,null
DDIST3,string,null
DDIST4,string,null
DDIST5,string,null
DDIST6,string,null
DDIST7,string,null
DDIST8,string,null
DDIST9,string,null
DDIST10,string,null
DCVOL1,string,null
DCVOL2,string,null
DCVOL3,string,null
DCVOL4,string,null
DCVOL5,string,null
DCVOL6,string,null
DCVOL7,string,null
DCVOL8,string,null
DCVOL9,string,null
DCVOL10,string,null
DCID1,string,null
DCID2,string,null
DCID3,string,null
DCID4,string,null
DCID5,string,null
DCID6,string,null
DCID7,string,null
DCID8,string,null
DCID9,string,null
DCID10,string,null
TTIME1,string,null
TTIME2,string,null
TTIME3,string,null
TTIME4,string,null
TTIME5,string,null
TTIME6,string,null
TTIME7,string,null
TTIME8,string,null
TTIME9,string,null
TTIME10,string,null
TCVOL1,string,null
TCVOL2,string,null
TCVOL3,string,null
TCVOL4,string,null
TCVOL5,string,null
TCVOL6,string,null
TCVOL7,string,null
TCVOL8,string,null
TCVOL9,string,null
TCVOL10,string,null
TCID1,string,null
TCID2,string,null
TCID3,string,null
TCID4,string,null
TCID5,string,null
TCID6,string,null
TCID7,string,null
TCID8,string,null
TCID9,string,null
TCID10,string,null
LSELAS1,string,null
LSELAS2,string,null
LSELAS3,string,null
LSELAS4,string,null
LSELAS5,string,null
LSELAS6,string,null
LSELAS7,string,null
LSELAS8,string,null
LSELAS9,string,null
LSELAS10,string,null
LSELAS11,string,null
LSELAS12,string,null
LSELAS13,string,null
LSELAS14,string,null
LSELAS15,string,null
LSELAS16,string,null
LSELAS17,string,null
LSELAS18,string,null
LSELAS19,string,null
LSELAS20,string,null
LSELAS21,string,null
LSELAS22,string,null
PERCENT,string,null
LIFT1,string,null
RATIO1,string,null
LIFT2,string,null
RATIO2,string,null
LIFT3,string,null
RATIO3,string,null
LIFT4,string,null
RATIO4,string,null
LIFT5,string,null
RATIO5,string,null
LIFT6,string,null
RATIO6,string,null
LIFT7,string,null
RATIO7,string,null
LIFT8,string,null
RATIO8,string,null
LIFT9,string,null
RATIO9,string,null
LIFT10,string,null
RATIO10,string,null
LIFT11,string,null
RATIO11,string,null
LIFT12,string,null
RATIO12,string,null
LIFT13,string,null
RATIO13,string,null
LIFT14,string,null
RATIO14,string,null
LIFT15,string,null
RATIO15,string,null
LIFT16,string,null
RATIO16,string,null
LIFT17,string,null
RATIO17,string,null
LIFT18,string,null
RATIO18,string,null
LIFT19,string,null
RATIO19,string,null
LIFT20,string,null
RATIO20,string,null
LIFT21,string,null
RATIO21,string,null
LIFT22,string,null
RATIO22,string,null
LIFT23,string,null
RATIO23,string,null
UELAS1,string,null
UTELS1,string,null
UNETA1,string,null
WELAS1,string,null
WTELS1,string,null
WNETA1,string,null
UELAS2,string,null
UTELS2,string,null
UNETA2,string,null
WELAS2,string,null
WTELS2,string,null
WNETA2,string,null
UELAS3,string,null
UTELS3,string,null
UNETA3,string,null
WELAS3,string,null
WTELS3,string,null
WNETA3,string,null
UELAS4,string,null
UTELS4,string,null
UNETA4,string,null
WELAS4,string,null
WTELS4,string,null
WNETA4,string,null
UELAS5,string,null
UTELS5,string,null
UNETA5,string,null
WELAS5,string,null
WTELS5,string,null
WNETA5,string,null
UELAS6,string,null
UTELS6,string,null
UNETA6,string,null
WELAS6,string,null
WTELS6,string,null
WNETA6,string,null
UELAS7,string,null
UTELS7,string,null
UNETA7,string,null
WELAS7,string,null
WTELS7,string,null
WNETA7,string,null
UELAS8,string,null
UTELS8,string,null
UNETA8,string,null
WELAS8,string,null
WTELS8,string,null
WNETA8,string,null
UELAS9,string,null
UTELS9,string,null
UNETA9,string,null
WELAS9,string,null
WTELS9,string,null
WNETA9,string,null
UELAS10,string,null
UTELS10,string,null
UNETA10,string,null
WELAS10,string,null
WTELS10,string,null
WNETA10,string,null
UELAS11,string,null
UTELS11,string,null
UNETA11,string,null
WELAS11,string,null
WTELS11,string,null
WNETA11,string,null
UELAS12,string,null
UTELS12,string,null
UNETA12,string,null
WELAS12,string,null
WTELS12,string,null
WNETA12,string,null
UELAS13,string,null
UTELS13,string,null
UNETA13,string,null
WELAS13,string,null
WTELS13,string,null
WNETA13,string,null
UELAS14,string,null
UTELS14,string,null
UNETA14,string,null
WELAS14,string,null
WTELS14,string,null
WNETA14,string,null
UELAS15,string,null
UTELS15,string,null
UNETA15,string,null
WELAS15,string,null
WTELS15,string,null
WNETA15,string,null
UELAS16,string,null
UTELS16,string,null
UNETA16,string,null
WELAS16,string,null
WTELS16,string,null
WNETA16,string,null
UELAS17,string,null
UTELS17,string,null
UNETA17,string,null
WELAS17,string,null
WTELS17,string,null
WNETA17,string,null
UELAS18,string,null
